survey_id,participant_id,workshop_id,date,confidence_score,understanding_responsible_ai,comfort_with_tools
S0073,P175,W051,2024-04-03,3,2,4
S0074,P071,W054,2024-01-03,3,1,2
S0075,P090,W050,2024-05-18,3,3,2
S0076,P042,W006,2023-07-17,1,4,3
S0077,P257,W051,2024-04-03,1,2,3
S0078,P187,W017,2023-08-09,3,1,4
S0079,P139,W001,2023-09-04,2,2,3
S0080,P148,W051,2024-04-03,4,2,3
S0081,P040,W039,2024-04-22,3,3,5
S0082,P113,W020,2023-10-27,1,3,3
S0083,P079,W029,2024-02-17,1,1,3
S0084,P221,W045,2024-01-13,4,3,1
S0085,P151,W057,2023-12-28,2,2,4
S0086,P303,W049,2024-04-26,2,2,2
S0087,P018,W060,2024-09-17,2,2,4
S0088,P120,W044,2024-06-15,3,3,2
S0089,P209,W042,2024-07-23,2,3,2
S0090,P267,W024,2023-08-31,2,3,2
S0091,P043,W012,2023-10-23,3,2,4
S0092,P241,W039,2024-04-22,3,4,3
S0093,P305,W039,2024-04-22,1,1,3
S0094,P188,W020,2023-10-27,2,3,3
S0095,P313,W010,2024-02-21,1,2,1
S0096,P006,W041,2024-04-06,4,2,3
S0097,P128,W049,2024-04-26,1,4,1
S0098,P039,W003,2024-09-12,3,3,3
S0099,P226,W015,2024-08-07,3,4,2
S0100,P270,W006,2023-07-17,1,3,4
S0101,P126,W059,2023-12-04,3,3,2
S0102,P068,W050,2024-05-18,1,2,4
S0103,P275,W027,2024-01-11,3,5,3
S0104,P193,W045,2024-01-13,2,3,2
S0105,P106,W058,2023-10-27,2,3,1
S0106,P101,W005,2023-09-13,1,3,3
S0107,P035,W023,2023-08-23,1,3,2
S0108,P295,W054,2024-01-03,2,2,2
S0109,P159,W003,2024-09-12,2,3,2
S0110,P166,W014,2024-08-23,5,4,3
S0111,P170,W050,2024-05-18,4,2,3
S0112,P230,W025,2024-10-01,2,1,2
S0113,P300,W050,2024-05-18,1,4,3
S0114,P108,W047,2023-11-01,1,3,3
S0115,P310,W007,2024-09-06,1,3,2
S0116,P020,W046,2024-09-19,2,3,1
S0117,P207,W017,2023-08-09,2,5,3
S0118,P015,W038,2024-07-15,2,2,4
S0119,P092,W006,2023-07-17,3,3,1
S0120,P233,W020,2023-10-27,2,2,3
S0121,P212,W029,2024-02-17,1,3,2
S0122,P045,W060,2024-09-17,3,3,3
S0123,P190,W030,2024-06-16,2,1,5
S0124,P107,W031,2023-08-22,3,2,3
S0125,P160,W034,2024-09-24,2,2,3
S0126,P168,W055,2023-09-03,3,3,4
S0127,P269,W033,2024-03-28,3,2,3
S0128,P109,W002,2024-03-04,4,2,2
S0129,P279,W044,2024-06-15,3,3,5
S0130,P080,W047,2023-11-01,2,3,3
S0131,P304,W049,2024-04-26,4,2,5
S0132,P311,W046,2024-09-19,2,2,2
S0133,P009,W054,2024-01-03,2,2,1
S0134,P173,W008,2023-11-30,4,3,4
S0135,P100,W008,2023-11-30,4,2,1
S0136,P285,W054,2024-01-03,3,2,3
S0137,P272,W043,2023-08-03,1,3,2
S0138,P261,W054,2024-01-03,3,2,1
S0139,P029,W029,2024-02-17,3,2,4
S0140,P032,W044,2024-06-15,3,3,4
S0141,P056,W013,2024-04-21,3,4,2
S0142,P033,W025,2024-10-01,3,1,3
S0143,P198,W022,2023-12-06,1,2,4
S0144,P049,W009,2024-03-23,2,1,4
S0145,P268,W015,2024-08-07,4,3,3
S0146,P205,W034,2024-09-24,3,3,3
S0147,P034,W003,2024-09-12,3,2,3
S0148,P036,W044,2024-06-15,1,2,2
S0149,P237,W049,2024-04-26,2,4,2
S0150,P064,W016,2024-09-13,2,1,2
S0151,P252,W032,2024-01-25,2,4,2
S0152,P047,W003,2024-09-12,4,2,2
S0153,P067,W004,2024-07-30,3,2,3
S0154,P172,W007,2024-09-06,1,3,3
S0155,P158,W035,2023-12-02,3,3,3
S0156,P314,W023,2023-08-23,1,2,2
S0157,P263,W043,2023-08-03,4,3,2
S0158,P229,W037,2023-12-05,3,2,2
S0159,P048,W014,2024-08-23,1,2,3
S0160,P307,W032,2024-01-25,3,2,2
S0161,P239,W014,2024-08-23,3,2,4
S0162,P041,W026,2023-10-05,2,3,3
S0163,P022,W011,2024-04-26,2,1,4
S0164,P102,W028,2023-07-15,4,2,2
S0165,P070,W025,2024-10-01,3,3,3
S0166,P054,W018,2023-07-27,4,3,3
S0167,P138,W038,2024-07-15,2,3,2
S0168,P025,W029,2024-02-17,3,2,3
S0169,P294,W050,2024-05-18,2,2,4
S0170,P135,W058,2023-10-27,2,5,4
S0171,P235,W035,2023-12-02,2,1,1
S0172,P117,W046,2024-09-19,1,3,3
S0173,P186,W014,2024-08-23,3,2,4
S0174,P143,W055,2023-09-03,3,3,1
S0175,P308,W060,2024-09-17,4,3,3
S0176,P180,W059,2023-12-04,3,3,3
S0177,P301,W007,2024-09-06,5,3,3
S0178,P057,W014,2024-08-23,3,3,2
S0179,P062,W008,2023-11-30,4,3,3
S0180,P200,W041,2024-04-06,3,3,4
S0181,P202,W005,2023-09-13,1,3,3
S0182,P085,W055,2023-09-03,4,3,2
S0183,P182,W027,2024-01-11,3,3,3
S0184,P250,W001,2023-09-04,3,3,4
S0185,P115,W007,2024-09-06,1,3,1
S0186,P292,W021,2024-01-09,3,3,2
S0187,P273,W004,2024-07-30,2,1,3
S0188,P271,W044,2024-06-15,3,2,3
S0189,P119,W022,2023-12-06,3,1,3
S0190,P234,W053,2023-11-13,2,5,3
S0191,P171,W014,2024-08-23,3,3,2
S0192,P146,W032,2024-01-25,1,5,3
S0193,P315,W007,2024-09-06,2,4,3
S0194,P280,W051,2024-04-03,2,2,2
S0195,P055,W037,2023-12-05,3,1,2
S0196,P177,W048,2023-12-16,3,3,4
S0197,P288,W024,2023-08-31,3,3,4
S0198,P195,W044,2024-06-15,2,3,3
S0199,P208,W060,2024-09-17,2,2,3
S0200,P225,W015,2024-08-07,2,3,2
S0201,P183,W036,2024-04-17,2,1,2
S0202,P223,W031,2023-08-22,2,4,2
S0203,P099,W012,2023-10-23,2,3,2
S0204,P231,W044,2024-06-15,2,3,4
S0205,P131,W016,2024-09-13,3,3,2
S0206,P098,W013,2024-04-21,1,2,1
S0207,P291,W017,2023-08-09,2,3,1
S0208,P083,W008,2023-11-30,1,2,4
S0209,P259,W035,2023-12-02,4,2,3
S0210,P061,W029,2024-02-17,2,4,2
S0211,P095,W022,2023-12-06,3,3,2
S0212,P194,W034,2024-09-24,2,2,2
S0213,P141,W009,2024-03-23,3,2,3
S0214,P161,W012,2023-10-23,2,2,1
S0215,P149,W002,2024-03-04,2,4,3
S0216,P203,W054,2024-01-03,3,2,2
S0217,P153,W054,2024-01-03,4,2,2
S0218,P290,W021,2024-01-09,1,4,4
S0219,P136,W056,2024-01-20,3,1,2
S0220,P082,W035,2023-12-02,2,3,3
